Key;Text_TC;Category_TC;Mood_TC;Text_SC;Category_SC;Mood_SC;Text_EN;Category_EN;Mood_EN
TD1;留意自己的情緒和身體反應;正念;悲傷;留意自己的情绪和身体反应;正念;悲伤;Pay attention to your emotions and physical reactions;Mindfulness;Sad
TD2;探索身體哪個部分感受最悲傷;正念;悲傷;探索身体哪个部分感受最悲伤;正念;悲伤;Discover which part of your body feels the saddest;Mindfulness;Sad
TD3;不評判自己的情緒;正念;悲傷;不评判自己的情绪;正念;悲伤;Don’t judge your own emotions;Mindfulness;Sad
TD4;悲傷是因為我珍視和小A的友情;辨別並瞭解情緒;悲傷;悲伤是因为我珍视和小A的友情;辨别并了解情绪;悲伤;Sad because I cherish my friendship with friend A;Name your emotions;Sad
TD5;悲傷不等於懦弱;辨別並瞭解情緒;悲傷;悲伤不等于懦弱;辨别并了解情绪;悲伤;Sadness does not equal cowardice;Name your emotions;Sad
TD6;傷心不是錯;辨別並瞭解情緒;悲傷;伤心不是错;辨别并了解情绪;悲伤;It's not wrong to be sad;Name your emotions;Sad
TD7;檢查自己是否有絕對化的思維;核對事實;悲傷;检查自己是否有绝对化的思维;核对事实;悲伤;Check whether you have absolute thinking;Check the fact;Sad
TD8;分析自己對這件事的詮釋;核對事實;悲傷;分析自己对这件事的诠释;核对事实;悲伤;Analyze your own interpretation of this matter;Check the fact;Sad
TD9;檢查自己有沒有災難性的想法;核對事實;悲傷;检查自己有没有灾难性的想法;核对事实;悲伤;Check yourself for catastrophic thoughts;Check the fact;Sad
TD10;反思自己有沒有過度反應;核對事實;悲傷;反思自己有没有过度反应;核对事实;悲伤;Reflect on whether you have overreacted;Check the fact;Sad
TD11;我們不一起上學，同時可以繼續見面;辯證思維;悲傷;我们不一起上学，同时可以继续见面;辩证思维;悲伤;We don't go to school together, but we can continue to see each other;Dialectical thinking;Sad
TD12;我們還有其他方式維持友情;辯證思維;悲傷;我们还有其他方式维持友情;辩证思维;悲伤;There are other ways we can maintain friendship;Dialectical thinking;Sad
TD13;寫日記記錄;自我撫慰;悲傷;写日记记录;自我抚慰;悲伤;Keep a diary;Sooth;Sad
TD14;聽聽音樂;自我撫慰;悲傷;听听音乐;自我抚慰;悲伤;listen to music;Sooth;Sad
TD15;向父母尋求情感支持;自我撫慰;悲傷;向父母寻求情感支持;自我抚慰;悲伤;Seeking emotional support from parents;Sooth;Sad
TD16;抱抱自己;自我撫慰;悲傷;抱抱自己;自我抚慰;悲伤;hug yourself;Sooth;Sad
TD17;傾聽小A的想法;DEARMAN;悲傷;倾听小A的想法;DEARMAN;悲伤;Listen to friend A’s thoughts;DEARMAN;Sad
TD18;和小A表達自己的悲傷;DEARMAN;悲傷;和小A表达自己的悲伤;DEARMAN;悲伤;Express your sadness to friend A;DEARMAN;Sad
TD19;對小A表示理解;DEARMAN;悲傷;对小A表示理解;DEARMAN;悲伤;Show understanding to friend A;DEARMAN;Sad
TD20;接受這件事的發生;全然接納;悲傷;接受这件事的发生;全然接纳;悲伤;accept that this happened;Radical acceptance;Sad
TD21;允許自己傷心;全然接納;悲傷;允许自己伤心;全然接纳;悲伤;allow yourself to be sad;Radical acceptance;Sad
TD22;安排定期通話;解決問題;悲傷;安排定期通话;解决问题;悲伤;Schedule recurring calls;Problem solving;Sad
TD23;約定好週末見面;解決問題;悲傷;约定好周末见面;解决问题;悲伤;Make an appointment to meet on the weekend;Problem solving;Sad
TD24;積極建立新的友誼;解決問題;悲傷;积极建立新的友谊;解决问题;悲伤;Actively build new friendships;Problem solving;Sad
TD25;告訴自己傷心是不對的;有問題;悲傷;告诉自己伤心是不对的;有问题;悲伤;Tell yourself it's wrong to be sad;Inappropriate;Sad
TD26;責怪朋友;有問題;悲傷;责怪朋友;有问题;悲伤;blame friends;Inappropriate;Sad
TD27;我會一直孤單;有問題;悲傷;我会一直孤单;有问题;悲伤;I will always be lonely;Inappropriate;Sad
TD28;其他朋友也會離開我;有問題;悲傷;其他朋友也会离开我;有问题;悲伤;Other friends will leave me too;Inappropriate;Sad
TD29;我再也見不到朋友了;有問題;悲傷;我再也见不到朋友了;有问题;悲伤;I can never see my friends again;Inappropriate;Sad
TD30;堅持自己也要轉學;有問題;悲傷;坚持自己也要转学;有问题;悲伤;Insisting that I also want to transfer schools;Inappropriate;Sad
TD31;所有人都會離開我;有問題;悲傷;所有人都会离开我;有问题;悲伤;everyone will leave me;Inappropriate;Sad
TD32;不願再交朋友;有問題;悲傷;不愿再交朋友;有问题;悲伤;Don't want to make friends anymore;Inappropriate;Sad
TD33;不再和其他朋友聯繫;有問題;悲傷;不再和其他朋友联系;有问题;悲伤;Stop contacting other friends;Inappropriate;Sad
TD34;不願信任任何人;有問題;悲傷;不愿信任任何人;有问题;悲伤;Don't want to trust anyone;Inappropriate;Sad
TD35;抗拒接受事實;有問題;悲傷;抗拒接受事实;有问题;悲伤;Resistance to accept facts;Inappropriate;Sad
TD36;小A背叛了我;有問題;悲傷;小A背叛了我;有问题;悲伤;Friend A betrayed me;Inappropriate;Sad
TD37;責怪自己花了太久傷心;有問題;悲傷;责怪自己花了太久伤心;有问题;悲伤;Blaming myself for taking too long to be sad;Inappropriate;Sad
TD38;小A討厭我;有問題;悲傷;小A讨厌我;有问题;悲伤;Friend A hates me;Inappropriate;Sad
TD39;停止衝動行為;立即停止;憤怒;停止冲动行为;立即停止;愤怒;stop impulsive behavior;STOP;Angry
TD40;深呼吸幾次讓自己冷靜下來;立即停止;憤怒;深呼吸几次让自己冷静下来;立即停止;愤怒;Take a few deep breaths to calm yourself down;STOP;Angry
TD41;洗個冷水臉讓自己平靜下來;立即停止;憤怒;洗个冷水脸让自己平静下来;立即停止;愤怒;Wash your face with cold water to calm yourself down;STOP;Angry
TD42;收集客觀資訊;立即停止;憤怒;收集客观信息;立即停止;愤怒;Gather objective information;STOP;Angry
TD43;思考一下自己行動的目標;立即停止;憤怒;思考一下自己行动的目标;立即停止;愤怒;Think about the goals of your actions;STOP;Angry
TD44;不評判憤怒的感覺對錯與否;正念;憤怒;不评判愤怒的感觉对错与否;正念;愤怒;Don’t judge whether angry feelings are right or wrong;Mindfulness;Angry
TD45;感受一下憤怒在身體上的反應;正念;憤怒;感受一下愤怒在身体上的反应;正念;愤怒;Feel the physical reaction of anger;Mindfulness;Angry
TD46;探索身體最能感受憤怒的地方;正念;憤怒;探索身体最能感受愤怒的地方;正念;愤怒;Explore where anger is most felt in the body;Mindfulness;Angry
TD47;想想憤怒背後的要求;辨別並瞭解情緒;憤怒;想想愤怒背后的要求;辨别并了解情绪;愤怒;Think about the demands behind the anger;Name your emotions;Angry
TD48;生氣是可以的;辨別並瞭解情緒;憤怒;生气是可以的;辨别并了解情绪;愤怒;It's okay to be angry;Name your emotions;Angry
TD49;生氣是正常的反應;辨別並瞭解情緒;憤怒;生气是正常的反应;辨别并了解情绪;愤怒;Anger is a normal reaction;Name your emotions;Angry
TD50;我不需要破壞性行為來發洩;辨別並瞭解情緒;憤怒;我不需要破坏性行为来发泄;辨别并了解情绪;愤怒;I don't need destructive behavior to vent;Name your emotions;Angry
TD51;別人這麼傷害我是不對的;辨別並瞭解情緒;憤怒;别人这么伤害我是不对的;辨别并了解情绪;愤怒;It's wrong for others to hurt me like this;Name your emotions;Angry
TD52;檢查一下有沒有災難化的想像;核對事實;憤怒;检查一下有没有灾难化的想象;核对事实;愤怒;Check for catastrophizing imagination;Check the fact;Angry
TD53;檢查一下有沒有絕對化的思維;核對事實;憤怒;检查一下有没有绝对化的思维;核对事实;愤怒;Check whether you have absolute thinking;Check the fact;Angry
TD54;抱抱自己;自我撫慰;憤怒;抱抱自己;自我抚慰;愤怒;hug yourself;Sooth;Angry
TD55;好好吃頓燒烤;自我撫慰;憤怒;好好吃顿烧烤;自我抚慰;愤怒;Have a nice barbecue;Sooth;Angry
TD56;好好吃頓火鍋;自我撫慰;憤怒;好好吃顿火锅;自我抚慰;愤怒;Have a nice hot pot meal;Sooth;Angry
TD57;吃個雪糕冷靜一下;自我撫慰;憤怒;吃个雪糕冷静一下;自我抚慰;愤怒;Eat an ice cream to calm down;Sooth;Angry
TD58;跟朋友抱怨抱怨;自我撫慰;憤怒;跟朋友抱怨抱怨;自我抚慰;愤怒;complain to friends;Sooth;Angry
TD59;去公園逛逛;自我撫慰;憤怒;去公园逛逛;自我抚慰;愤怒;go to the park;Sooth;Angry
TD60;聞聞自己喜歡的味道;自我撫慰;憤怒;闻闻自己喜欢的味道;自我抚慰;愤怒;Smell what you like;Sooth;Angry
TD61;給自己泡杯咖啡;自我撫慰;憤怒;给自己泡杯咖啡;自我抚慰;愤怒;Make yourself a cup of coffee;Sooth;Angry
TD62;聽喜歡的音樂;自我撫慰;憤怒;听喜欢的音乐;自我抚慰;愤怒;listen to your favorite music;Sooth;Angry
TD63;想想怎麼保護好自己的權益;解決問題;憤怒;想想怎么保护好自己的权益;解决问题;愤怒;Think about how to protect your rights and interests;Problem solving;Angry
TD64;非暴力地向小A表達自己的憤怒;解決問題;憤怒;非暴力地向小A表达自己的愤怒;解决问题;愤怒;Express your anger to classmate A non-violently;Problem solving;Angry
TD65;想想怎麼解決問題;解決問題;憤怒;想想怎么解决问题;解决问题;愤怒;Think about how to solve the problem;Problem solving;Angry
TD66;找朋友幫忙;解決問題;憤怒;找朋友帮忙;解决问题;愤怒;Ask friends for help;Problem solving;Angry
TD67;找老師幫忙;解決問題;憤怒;找老师帮忙;解决问题;愤怒;Ask the teacher for help;Problem solving;Angry
TD68;打人;有問題;憤怒;打人;有问题;愤怒;Beat someone;Inappropriate;Angry
TD69;到處散佈小A的謠言;有問題;憤怒;到处散布小A的谣言;有问题;愤怒;Spreading rumors about classmate A everywhere;Inappropriate;Angry
TD70;報復小A;有問題;憤怒;报复小A;有问题;愤怒;Revenge on classmate A;Inappropriate;Angry
TD71;大吼大叫;有問題;憤怒;大吼大叫;有问题;愤怒;shouting;Inappropriate;Angry
TD72;告訴自己不能生氣;有問題;憤怒;告诉自己不能生气;有问题;愤怒;Tell yourself not to be angry;Inappropriate;Angry
TD73;告訴自己生氣是不成熟的表現;有問題;憤怒;告诉自己生气是不成熟的表现;有问题;愤怒;Tell yourself that getting angry is immature;Inappropriate;Angry
TD74;告訴自己生氣就是輸了;有問題;憤怒;告诉自己生气就是输了;有问题;愤怒;Tell yourself that you have lost when you are angry;Inappropriate;Angry
